"business_date","hour_of_day","dining_unit_id","actual_demand","actual_staff_count","baseline_demand_forecast","event_adjusted_forecast","recommended_staff_count"
2024-08-20,0,1,28,3,58.2500000000000000,58.25,3
2024-08-20,0,2,107,5,78.0000000000000000,78.00,4
2024-08-20,0,3,59,3,72.2500000000000000,72.25,4
2024-08-20,0,4,106,5,87.2500000000000000,87.25,5
2024-08-20,1,1,33,3,59.5000000000000000,59.50,3
2024-08-20,1,2,90,4,84.0000000000000000,84.00,5
2024-08-20,1,3,70,3,66.7500000000000000,66.75,4
2024-08-20,1,4,66,3,63.0000000000000000,63.00,4
2024-08-20,2,1,57,3,92.5000000000000000,92.50,5
2024-08-20,2,2,63,3,91.2500000000000000,91.25,5
2024-08-20,2,3,116,5,70.0000000000000000,70.00,4
2024-08-20,2,4,42,3,79.5000000000000000,79.50,4
2024-08-20,3,1,98,4,52.2500000000000000,52.25,3
2024-08-20,3,2,20,3,48.7500000000000000,48.75,3
2024-08-20,3,3,33,3,53.0000000000000000,53.00,3
2024-08-20,3,4,89,4,60.7500000000000000,60.75,4
2024-08-20,4,1,48,3,89.2500000000000000,89.25,5
2024-08-20,4,2,67,3,70.2500000000000000,70.25,4
2024-08-20,4,3,98,4,71.2500000000000000,71.25,4
2024-08-20,4,4,116,5,104.0000000000000000,104.00,6
2024-08-20,5,1,86,4,66.0000000000000000,66.00,4
2024-08-20,5,2,94,4,89.7500000000000000,89.75,5
2024-08-20,5,3,47,3,48.0000000000000000,48.00,3
2024-08-20,5,4,94,4,85.0000000000000000,85.00,5
2024-08-20,6,1,110,5,76.5000000000000000,76.50,4
2024-08-20,6,2,67,3,71.2500000000000000,71.25,4
2024-08-20,6,3,52,3,37.2500000000000000,37.25,2
2024-08-20,6,4,48,3,79.0000000000000000,79.00,4
2024-08-20,7,1,37,3,78.0000000000000000,78.00,4
2024-08-20,7,2,32,3,51.5000000000000000,51.50,3
2024-08-20,7,3,64,3,55.7500000000000000,55.75,3
2024-08-20,7,4,46,3,75.5000000000000000,75.50,4
2024-08-20,8,1,21,3,30.0000000000000000,30.00,2
2024-08-20,8,2,52,3,62.7500000000000000,62.75,4
2024-08-20,8,3,30,3,78.2500000000000000,78.25,4
2024-08-20,8,4,26,3,64.7500000000000000,64.75,4
2024-08-20,9,1,40,3,61.0000000000000000,61.00,4
2024-08-20,9,2,107,5,75.0000000000000000,75.00,4
2024-08-20,9,3,74,3,102.7500000000000000,102.75,6
2024-08-20,9,4,25,3,58.2500000000000000,58.25,3
2024-08-20,10,1,37,3,47.7500000000000000,47.75,3
2024-08-20,10,2,69,3,76.7500000000000000,76.75,4
2024-08-20,10,3,31,3,60.5000000000000000,60.50,4
2024-08-20,10,4,23,3,60.5000000000000000,60.50,4
2024-08-20,11,1,67,3,43.2500000000000000,43.25,3
2024-08-20,11,2,68,3,47.2500000000000000,47.25,3
2024-08-20,11,3,106,5,65.7500000000000000,65.75,4
2024-08-20,11,4,40,3,55.7500000000000000,55.75,3
2024-08-20,12,1,100,5,58.7500000000000000,58.75,3
2024-08-20,12,2,75,3,72.5000000000000000,72.50,4
2024-08-20,12,3,71,3,78.2500000000000000,78.25,4
2024-08-20,12,4,103,5,74.7500000000000000,74.75,4
2024-08-20,13,1,117,5,87.0000000000000000,87.00,5
2024-08-20,13,2,103,5,77.5000000000000000,77.50,4
2024-08-20,13,3,29,3,60.7500000000000000,60.75,4
2024-08-20,13,4,77,3,64.0000000000000000,64.00,4
2024-08-20,14,1,58,3,85.5000000000000000,85.50,5
2024-08-20,14,2,92,4,63.2500000000000000,63.25,4
2024-08-20,14,3,114,5,85.2500000000000000,85.25,5
2024-08-20,14,4,39,3,77.2500000000000000,77.25,4
2024-08-20,15,1,63,3,61.5000000000000000,61.50,4
2024-08-20,15,2,74,3,60.5000000000000000,60.50,4
2024-08-20,15,3,100,5,74.0000000000000000,74.00,4
2024-08-20,15,4,56,3,55.7500000000000000,55.75,3
2024-08-20,16,1,29,3,66.5000000000000000,66.50,4
2024-08-20,16,2,73,3,82.5000000000000000,82.50,5
2024-08-20,16,3,70,3,60.7500000000000000,60.75,4
2024-08-20,16,4,111,5,78.0000000000000000,78.00,4
2024-08-20,17,1,31,3,68.5000000000000000,68.50,4
2024-08-20,17,2,76,3,59.0000000000000000,59.00,3
2024-08-20,17,3,76,3,50.0000000000000000,50.00,3
2024-08-20,17,4,82,4,73.0000000000000000,73.00,4
2024-08-20,18,1,82,4,55.5000000000000000,55.50,3
2024-08-20,18,2,22,3,52.2500000000000000,52.25,3
2024-08-20,18,3,114,5,94.5000000000000000,94.50,5
2024-08-20,18,4,27,3,47.7500000000000000,47.75,3
2024-08-20,19,1,82,4,64.5000000000000000,64.50,4
2024-08-20,19,2,73,3,60.0000000000000000,60.00,3
2024-08-20,19,3,65,3,61.7500000000000000,61.75,4
2024-08-20,19,4,112,5,78.0000000000000000,78.00,4
2024-08-20,20,1,31,3,42.2500000000000000,42.25,3
2024-08-20,20,2,81,4,68.5000000000000000,68.50,4
2024-08-20,20,3,75,3,52.7500000000000000,52.75,3
2024-08-20,20,4,31,3,44.5000000000000000,44.50,3
2024-08-20,21,1,57,3,77.7500000000000000,77.75,4
2024-08-20,21,2,108,5,65.2500000000000000,65.25,4
2024-08-20,21,3,69,3,67.7500000000000000,67.75,4
2024-08-20,21,4,79,3,78.7500000000000000,78.75,4
2024-08-20,22,1,72,3,71.2500000000000000,71.25,4
2024-08-20,22,2,36,3,44.2500000000000000,44.25,3
2024-08-20,22,3,47,3,62.7500000000000000,62.75,4
2024-08-20,22,4,105,5,67.5000000000000000,67.50,4
2024-08-20,23,1,67,3,99.2500000000000000,99.25,5
2024-08-20,23,2,56,3,84.0000000000000000,84.00,5
2024-08-20,23,3,83,4,74.7500000000000000,74.75,4
2024-08-20,23,4,24,3,51.0000000000000000,51.00,3
2024-08-21,0,1,41,3,57.6666666666666667,57.67,3
2024-08-21,0,2,80,4,68.3333333333333333,68.33,4
2024-08-21,0,3,47,3,60.0000000000000000,60.00,3
2024-08-21,0,4,48,3,71.3333333333333333,71.33,4
2024-08-21,1,1,41,3,56.3333333333333333,56.33,3
2024-08-21,1,2,77,3,88.0000000000000000,88.00,5
2024-08-21,1,3,32,3,47.6666666666666667,47.67,3
2024-08-21,1,4,98,4,99.3333333333333333,99.33,5
2024-08-21,2,1,84,4,59.6666666666666667,59.67,3
2024-08-21,2,2,87,4,88.0000000000000000,88.00,5
2024-08-21,2,3,79,3,80.0000000000000000,80.00,4
2024-08-21,2,4,26,3,54.3333333333333333,54.33,3
2024-08-21,3,1,73,3,62.3333333333333333,62.33,4
2024-08-21,3,2,23,3,60.0000000000000000,60.00,3
2024-08-21,3,3,106,5,99.0000000000000000,99.00,5
2024-08-21,3,4,51,3,72.3333333333333333,72.33,4
2024-08-21,4,1,56,3,49.0000000000000000,49.00,3
2024-08-21,4,2,32,3,74.6666666666666667,74.67,4
2024-08-21,4,3,84,4,91.3333333333333333,91.33,5
2024-08-21,4,4,102,5,92.0000000000000000,92.00,5
2024-08-21,5,1,61,3,54.3333333333333333,54.33,3
2024-08-21,5,2,52,3,82.3333333333333333,82.33,5
2024-08-21,5,3,108,5,112.3333333333333333,112.33,6
2024-08-21,5,4,106,5,86.6666666666666667,86.67,5
2024-08-21,6,1,104,5,79.0000000000000000,79.00,4
2024-08-21,6,2,119,5,108.6666666666666667,108.67,6
